fileName,totalCount,surpriseCount,index_pairs,surpriseScore,threshold
220890.txt,28.0,2,"13,14|14,15|",0.071428571428571425,0.36918825
86719.txt,18.0,3,"1,2|2,3|12,13|",0.16666666666666666,0.39301024999999995
213282.txt,12.0,1,"11,12|",0.083333333333333329,0.34426124999999996
58703.txt,36.0,7,"13,14|21,22|22,23|23,24|24,25|25,26|26,27|",0.19444444444444445,0.36019725000000002
31979.txt,23.0,1,"10,11|",0.043478260869565216,0.2455685
61828.txt,9.0,1,"8,9|",0.1111111111111111,0.31035000000000001
5221.txt,54.0,6,"28,29|35,36|36,37|47,48|48,49|52,53|",0.1111111111111111,0.29673975000000002
269512.txt,19.0,2,"9,10|16,17|",0.10526315789473684,0.32177299999999998
233608.txt,11.0,1,"9,10|",0.090909090909090912,0.32704549999999999
179961.txt,46.0,5,"2,3|18,19|28,29|38,39|39,40|",0.10869565217391304,0.30738874999999999
68830.txt,17.0,1,"7,8|",0.058823529411764705,0.357852
56060.txt,22.0,4,"10,11|11,12|12,13|13,14|",0.18181818181818182,0.35007074999999999
34168.txt,146.0,8,"54,55|61,62|67,68|70,71|73,74|85,86|94,95|126,127|",0.054794520547945202,0.29865025000000001
236957.txt,28.0,1,"2,3|",0.035714285714285712,0.37679324999999997
15818.txt,23.0,2,"3,4|4,5|",0.086956521739130432,0.27267600000000003
208675.txt,33.0,1,"4,5|",0.030303030303030304,0.36810300000000001
56921.txt,52.0,5,"18,19|28,29|29,30|35,36|45,46|",0.096153846153846159,0.37709000000000004
168139.txt,29.0,1,"1,2|",0.034482758620689655,0.39966499999999999
168677.txt,31.0,2,"2,3|15,16|",0.064516129032258063,0.32950100000000004
202402.txt,14.0,1,"6,7|",0.071428571428571425,0.39119225000000002
131070.txt,10.0,1,"9,10|",0.10000000000000001,0.34241325
184344.txt,24.0,3,"9,10|20,21|23,24|",0.125,0.38598500000000002
237136.txt,25.0,2,"3,4|16,17|",0.080000000000000002,0.38068400000000002
269738.txt,19.0,2,"12,13|13,14|",0.10526315789473684,0.34801850000000001
63583.txt,16.0,2,"2,3|12,13|",0.125,0.38207475000000002
244682.txt,12.0,1,"5,6|",0.083333333333333329,0.33912750000000003
270241.txt,28.0,2,"7,8|13,14|",0.071428571428571425,0.26996650000000005
243853.txt,30.0,4,"17,18|20,21|21,22|27,28|",0.13333333333333333,0.35598050000000003
253498.txt,31.0,1,"23,24|",0.032258064516129031,0.35240450000000001
33363.txt,6.0,1,"4,5|",0.16666666666666666,0.2829255
218116.txt,30.0,4,"9,10|15,16|16,17|22,23|",0.13333333333333333,0.29959825000000001
110294.txt,44.0,3,"5,6|33,34|41,42|",0.068181818181818177,0.28653675000000001
96907.txt,98.0,10,"40,41|51,52|54,55|64,65|79,80|80,81|84,85|85,86|86,87|87,88|",0.10204081632653061,0.31660024999999997
68373.txt,41.0,4,"8,9|9,10|17,18|22,23|",0.097560975609756101,0.36836199999999997
258526.txt,28.0,4,"9,10|19,20|20,21|21,22|",0.14285714285714285,0.26948225000000003
95598.txt,26.0,1,"14,15|",0.038461538461538464,0.36571574999999995
5976.txt,40.0,5,"15,16|16,17|26,27|35,36|36,37|",0.125,0.39076799999999995
43860.txt,30.0,5,"5,6|9,10|10,11|11,12|12,13|",0.16666666666666666,0.38518550000000001
260085.txt,21.0,1,"20,21|",0.047619047619047616,0.35402400000000001
265843.txt,26.0,1,"15,16|",0.038461538461538464,0.36622125
58313.txt,19.0,2,"5,6|8,9|",0.10526315789473684,0.23957299999999998
17410.txt,78.0,6,"1,2|36,37|43,44|60,61|61,62|62,63|",0.076923076923076927,0.38488174999999997
74835.txt,49.0,4,"17,18|18,19|26,27|34,35|",0.081632653061224483,0.31393599999999999
142471.txt,33.0,2,"31,32|32,33|",0.060606060606060608,0.36869400000000002
234211.txt,15.0,2,"6,7|7,8|",0.13333333333333333,0.35544449999999994
80744.txt,39.0,3,"16,17|17,18|18,19|",0.076923076923076927,0.35224549999999999
135809.txt,22.0,1,"15,16|",0.045454545454545456,0.29241125000000001
266231.txt,25.0,1,"17,18|",0.040000000000000001,0.36259000000000002
16726.txt,24.0,3,"8,9|9,10|20,21|",0.125,0.26684025
272536.txt,15.0,2,"7,8|8,9|",0.13333333333333333,0.343362
106569.txt,33.0,3,"3,4|20,21|31,32|",0.090909090909090912,0.356931
268208.txt,28.0,1,"6,7|",0.035714285714285712,0.29413174999999997
180718.txt,26.0,4,"8,9|23,24|24,25|25,26|",0.15384615384615385,0.35101824999999998
121883.txt,7.0,1,"1,2|",0.14285714285714285,0.31443650000000001
202984.txt,34.0,3,"11,12|25,26|28,29|",0.088235294117647065,0.20468
47596.txt,10.0,2,"4,5|5,6|",0.20000000000000001,0.309581
258446.txt,20.0,2,"14,15|19,20|",0.10000000000000001,0.31515024999999997
47582.txt,21.0,2,"13,14|17,18|",0.095238095238095233,0.349804
128.txt,13.0,1,"6,7|",0.076923076923076927,0.36054599999999998
131474.txt,29.0,1,"5,6|",0.034482758620689655,0.36903400000000003
7973.txt,13.0,1,"3,4|",0.076923076923076927,0.36391999999999997
249563.txt,25.0,2,"9,10|23,24|",0.080000000000000002,0.30510399999999999
189927.txt,9.0,1,"8,9|",0.1111111111111111,0.32489200000000001
85833.txt,19.0,1,"15,16|",0.052631578947368418,0.36581750000000002
59780.txt,29.0,3,"1,2|2,3|3,4|",0.10344827586206896,0.36593700000000001
260697.txt,35.0,3,"18,19|29,30|32,33|",0.085714285714285715,0.28652049999999996
41440.txt,8.0,1,"2,3|",0.125,0.32053749999999998
34961.txt,13.0,1,"11,12|",0.076923076923076927,0.30071199999999998
